ID,logFC,fdr,pseudo_t,Rank_FC,Rank_t,Normed_FC,Normed_t
HMBOX1,0.114293182,0.81156718,0.0906755242718863,0.5811175337186898,0.5924855491329479,48.10436222117453,NA
TFRC,0.184029697,0.811663865,0.09062378824556794,0.6285163776493257,0.5924213230571612,48.46895968004878,NA
ZFP408,0.111394966,0.811712975,0.09059751190419453,0.5786769428387926,0.5923570969813744,48.08920972626037,NA
EGFL8,0.279699942,0.81189379800000006,0.09050077612711864,0.6856775850995505,0.5922286448298009,48.96914424213764,NA
BMP2K,0.130485853,0.81189379800000006,0.09050077612711864,0.5927424534360951,0.5922286448298009,48.1890209784839,NA
RAB25,0.278453822,0.812473982,0.09019053761647358,0.6850353243416827,0.5921644187540142,48.96262925948539,NA
EREG,0.271600597,0.812509113,0.09017175932949564,0.6814386640976237,0.5920359666024406,48.926799129171414,NA
AKIRIN1,0.089705701,0.812509113,0.09017175932949564,0.5625561978163134,0.5920359666024406,47.9758135965018,NA
PRMT7,0.093408408,0.812520436,0.09016570711164924,0.5653179190751445,0.5919717405266538,47.995172142926954,NA
GM44249,0.278759879,0.813269274,0.08976563540220546,0.6850995504174695,0.5918432883750803,48.9642293911305,NA
RPS13-PS2,0.140109221,0.813269274,0.08976563540220546,0.600834938985228,0.5918432883750803,48.239334010596444,NA
HEATR5B,0.083771013,0.813735287,0.08951685075244975,0.558188824662813,0.5917148362235067,47.94478577464963,NA
GM15500,0.068499285,0.813735287,0.08951685075244975,0.5465639049454079,0.5917148362235067,47.86494190488615,NA
PLAGL2,0.115775915,0.813837091,0.08946252086077675,0.582145150931278,0.59165061014772,48.11211426734416,NA
GM42887,0.19928584,0.813901358,0.08942822689481421,0.6401412973667309,0.5915863840719332,48.54872206808928,NA
RAB11FIP1,0.096583119,0.814054742,0.08934638952216097,0.5673089274245343,0.5915221579961464,48.01177021300918,NA
4833419F23RIK,0.276324208,0.814087484,0.08932892216617538,0.6842646114322415,0.5914579319203597,48.951495180692056,NA
IGKC,0.191029708,0.81423323,0.08925117742807274,0.6336544637122672,0.5913937058445728,48.505557239056316,NA
TDG,0.127633672,0.814768334,0.08896585821421961,0.5907514450867052,0.5913294797687861,48.17410916442424,NA
GM16001,0.26345162,0.814944693,0.08887186406977328,0.6766217084136159,0.5912010276172126,48.88419452946313,NA
TRP53BP1,0.113029804,0.814944693,0.08887186406977328,0.5800256904303147,0.5912010276172126,48.097757009996464,NA
TMEM9B,0.077924528,0.814968595,0.08885912657412418,0.5542068079640334,0.5910725754656391,47.91421909700097,NA
ICMT,0.063373854,0.814968595,0.08885912657412418,0.5430314707771355,0.5910725754656391,47.838145052215275,NA
METTL13,0.088763524,0.814982779,0.08885156802602297,0.5616570327552987,0.59100834938985225,47.97088769304922,NA
LSR,0.119287506,0.815523851,0.08856333296065826,0.5847141939627489,0.590815671162492,48.130473618327,NA
VPS4A,0.076552254,0.815523851,0.08856333296065826,0.5531791907514451,0.590815671162492,47.907044554176736,NA
CLTA,0.072142212,0.815523851,0.08856333296065826,0.5491329479768786,0.590815671162492,47.883987908648514,NA
D030028A08RIK,0.214706202,0.815640197,0.08850137913579416,0.6499036608863199,0.5905587668593449,48.6293430282867,NA
GM42519,0.167765031,0.815640197,0.08850137913579416,0.6187540141297366,0.5905587668593449,48.383924517436505,NA
MON1A,0.087279613,0.815640197,0.08850137913579416,0.56043673731535,0.5905587668593449,47.9631294880429,NA
EMD,0.079280066,0.815640197,0.08850137913579416,0.5553628773281952,0.5905587668593449,47.92130614042732,NA
NLN,0.090994382,0.815732073,0.08845246174202051,0.563776493256262,0.5904945407835581,47.982551097191354,NA
DENND1C,0.142870903,0.816344044,0.08812677149011083,0.6029543994861913,0.5904303147077714,48.253772676472124,NA
E130309D02RIK,0.085879493,0.816725394,0.08792394091863555,0.5596660244059088,0.5903018625561978,47.95580936035774,NA
PITRM1,0.067833056,0.816725394,0.08792394091863555,0.5461785484906873,0.5903018625561978,47.8614587167683,NA
GM5182,0.272453698,0.816961985,0.08779815165465878,0.6819524727039178,0.590237636480411,48.93125932418923,NA
GM29012,0.273805791,0.817173059,0.08768595985714528,0.6829158638407193,0.5901734104046242,48.93832835641662,NA
RARRES1,0.26393441,0.818170973,0.087155932426921,0.676878612716763,0.5901091843288375,48.886718659141394,NA
KIF9,0.225992836,0.818202311,0.08713929817774495,0.65626204238921,0.5900449582530507,48.68835197181712,NA
CLK1,0.136629593,0.818242534,0.08711794869321755,0.5982016698779704,0.589980732177264,48.22114176903366,NA
1700105P06RIK,0.268752349,0.81828413,0.08709587155427381,0.6798972382787412,0.5899165061014772,48.91190787767936,NA
UBE2B,0.11180963,0.818935692,0.08675020044480602,0.5791907514450867,0.5898522800256905,48.09137767859763,NA
HNRNPUL2,0.061727971,0.819024945,0.08670287075377921,0.5415542710340399,0.5897880539499036,47.82954002285004,NA
