Gene,MDA468_B2_24h_a,MDA468_B2_24h_b,MDA468_B3_24h_a,MDA468_B3_24h_b,MDA468_B6_24h_a,MDA468_B6_24h_b,MDA468_D_24h_a,MDA468_D_24h_b,MDA468_J_24h_a,MDA468_J_24h_b,MDA468_JB2_24h_a,MDA468_JB2_24h_b,MDA468_JB3_24h_a,MDA468_JB3_24h_b,MDA468_JB6_24h_a,MDA468_JB6_24h_b
GRAMD4P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAMD4P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAMD4P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAMD4P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAP,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,1
GRAP2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GRAPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRASP,1,4,3,5,7,2,3,3,0,2,2,3,1,1,0,5
GRB10,65,41,163,205,182,204,36,63,25,47,171,231,159,142,111,182
GRB14,15,10,13,11,7,13,10,14,14,22,11,14,8,12,1,10
GRB2,474,361,477,651,565,681,296,357,370,478,662,976,559,584,469,690
GRB7,30,37,74,85,48,109,37,38,23,23,29,48,24,30,8,18
GREB1,1,1,1,2,1,1,1,0,2,2,1,0,2,2,0,1
GREB1L,9,6,5,12,11,12,8,6,9,15,15,15,10,5,5,6
GREM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRHL1,58,47,38,65,37,38,27,55,41,52,38,64,32,25,28,39
GRHL2,58,55,40,32,44,37,49,54,27,47,38,44,36,46,28,28
GRHL3,24,32,41,49,33,39,22,39,13,25,19,28,26,24,8,12
GRHPR,267,235,209,191,180,224,153,270,181,212,169,243,162,178,112,195
GRIA1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GRIA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRID1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRID1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRID2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRID2IP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GRIFIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIK1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIK2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1
GRIK3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GRIK4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIK5,1,1,0,0,0,0,0,0,2,1,4,0,1,0,0,1
GRIN1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIN2A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIN2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIN2C,1,1,1,1,0,0,1,1,1,1,1,1,2,0,0,1
GRIN2D,6,5,1,5,3,11,3,7,4,4,0,2,6,3,2,2
GRIN3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIN3B,0,0,2,1,2,0,0,0,0,0,2,1,3,0,2,2
GRINA,214,161,107,123,70,66,153,194,193,257,94,155,88,88,66,104
GRIP1,0,0,1,0,1,2,1,0,0,0,1,1,1,1,0,0
GRIP2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIPAP1,40,33,41,58,46,51,17,24,34,31,32,50,45,25,16,46
GRK1,1,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0
GRK2,303,189,150,213,150,156,161,251,137,201,92,105,85,65,49,73
GRK3,9,16,18,27,11,13,5,12,9,8,11,16,12,12,5,14
GRK4,2,1,1,1,3,0,4,3,3,3,2,5,3,3,1,2
