Gene,HCC70_D_a,HCC70_J_a,HCC70_JB2_a,HCC70_JB3_a,HCC70_JB6_a,HCC70_B2_a,HCC70_B3_a,HCC70_B6_a,HCC70_D_b,HCC70_J_b,HCC70_JB2_b,HCC70_JB3_b,HCC70_JB6_b,HCC70_B2_b,HCC70_B3_b,HCC70_B6_b
RIPK4,466,348,191,143,237,292,140,210,702,509,111,115,107,415,189,235
RIPOR1,973,494,461,298,287,867,403,459,1645,685,250,206,98,855,414,469
RIPOR2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RIPOR3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
RIPPLY1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
RIPPLY2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIPPLY3,5,1,0,0,1,1,0,0,2,0,0,0,0,2,0,0
RIT1,132,84,130,105,117,214,148,211,151,122,102,82,37,272,189,226
RIT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RITA1,386,332,172,159,175,193,127,225,543,488,118,131,66,290,118,218
RLBP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RLF,4,2,6,6,5,19,7,8,17,6,0,5,6,4,6,6
RLIM,92,78,44,90,88,64,63,147,58,147,62,66,22,162,144,168
RLIMP1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RLIMP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RLN1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
RLN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RLN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMDN1,434,416,231,191,128,282,141,204,608,580,143,109,46,338,188,201
RMDN2,3,11,4,6,5,5,3,11,11,13,4,5,1,12,10,13
RMDN2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMDN3,225,199,136,97,87,210,115,113,383,280,88,73,27,220,105,123
RMI1,25,47,19,10,11,30,20,30,69,75,12,10,5,49,32,30
RMI2,229,175,107,98,71,117,79,123,262,295,90,69,38,177,110,116
RMND1,79,67,33,67,80,45,35,77,58,126,69,53,44,89,66,95
